name,material,role,bbox_x_mm,bbox_y_mm,bbox_z_mm,approx_solid_volume_cm3,recommended_print_axis_up,shapeways_pa12_standard_bbox_ok,shapeways_pa12_smooth_color_bbox_ok,stl,step,source_kind,source_asset,oem_baseline_meshes
left_upper_arm_outer_blade,orange_armor,armor,16.0,5.2,68.0,3.72,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_upper_arm_outer_blade.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_upper_arm_outer_blade.step,parametric_loft,,left_shoulder_yaw_link.STL
left_upper_arm_front_armor,orange_armor,armor,8.0,15.0,44.0,3.36,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_upper_arm_front_armor.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_upper_arm_front_armor.step,parametric_loft,,left_shoulder_yaw_link.STL
right_upper_arm_shell,black_underbody,underbody,52.0,38.0,96.0,103.95,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/right_upper_arm_shell.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/right_upper_arm_shell.step,parametric_loft,,right_shoulder_yaw_link.STL
right_upper_arm_outer_blade,orange_armor,armor,16.0,5.2,68.0,3.72,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/right_upper_arm_outer_blade.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/right_upper_arm_outer_blade.step,parametric_loft,,right_shoulder_yaw_link.STL
right_upper_arm_front_armor,orange_armor,armor,8.0,15.0,44.0,3.36,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/right_upper_arm_front_armor.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/right_upper_arm_front_armor.step,parametric_loft,,right_shoulder_yaw_link.STL
left_forearm_shell,black_underbody,underbody,54.0,28.0,48.0,41.05,x,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_forearm_shell.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_forearm_shell.step,parametric_loft,,left_elbow_link.STL
left_forearm_outer_blade,orange_armor,armor,52.0,3.0,8.4,0.3,x,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_forearm_outer_blade.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_forearm_outer_blade.step,parametric_loft,,left_elbow_link.STL
left_forearm_inner_detail,eye_lip_detail,face_detail,52.0,6.0,10.0,3.12,x,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_forearm_inner_detail.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_forearm_inner_detail.step,primitive,,left_elbow_link.STL
left_wrist_separated_cuff,black_underbody,underbody,2.94,13.52,13.52,0.11,y,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_wrist_separated_cuff.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_wrist_separated_cuff.step,parametric_annular_loft,,left_elbow_link.STL
right_forearm_shell,black_underbody,underbody,54.0,28.0,48.0,41.05,x,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/right_forearm_shell.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/right_forearm_shell.step,parametric_loft,,right_elbow_link.STL
